
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-05-02 10:25:31 /login ..................................... ~ 500.52ms
  2026-05-02 10:25:32 /_debugbar/assets ............................ ~ 0.05ms
  2026-05-02 10:25:32 /_debugbar/assets ............................ ~ 0.27ms
  2026-05-02 10:25:34 /logo.png .................................... ~ 0.18ms
  2026-05-02 10:25:34 /login ..................................... ~ 500.44ms
  2026-05-02 10:25:35 /dashboard ................................. ~ 502.82ms
  2026-05-02 10:25:35 /_debugbar/open .............................. ~ 0.05ms
  2026-05-02 10:25:35 /_debugbar/open .............................. ~ 0.03ms
  2026-05-02 10:25:37 /requirements/create ......................... ~ 0.11ms
  2026-05-02 10:25:39 /logo.png .................................... ~ 0.18ms
  2026-05-02 10:25:40 /requirements/create ......................... ~ 0.17ms
  2026-05-02 10:25:40 /_debugbar/open .............................. ~ 0.03ms
