
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-06-24 10:55:15 /login ..................................... ~ 500.48ms
  2026-06-24 10:55:16 /build/assets/app-CbWkHNh_.css ............... ~ 0.04ms
  2026-06-24 10:55:16 /build/assets/login-CpAt4lyA.js .............. ~ 0.07ms
  2026-06-24 10:55:16 /build/assets/input-error-c9HKPrsi.js ........ ~ 0.21ms
  2026-06-24 10:55:16 /build/assets/text-link-B2DKKOP8.js .......... ~ 0.37ms
  2026-06-24 10:55:16 /build/assets/app-NBQrnAqq.js ................ ~ 0.52ms
  2026-06-24 10:55:16 /build/assets/button-yyHK97aV.js ............. ~ 0.64ms
  2026-06-24 10:55:16 /build/assets/checkbox-BYuRvQIE.js ........... ~ 0.78ms
  2026-06-24 10:55:16 /_debugbar/assets ............................ ~ 0.04ms
  2026-06-24 10:55:16 /build/assets/input-CFN0jbOi.js .............. ~ 0.31ms
  2026-06-24 10:55:16 /build/assets/label-DIQHlRAY.js .............. ~ 0.49ms
  2026-06-24 10:55:16 /build/assets/spinner-BpF45md_.js ............ ~ 0.40ms
  2026-06-24 10:55:16 /build/assets/auth-layout-CT8rLqUD.js ........ ~ 0.51ms
  2026-06-24 10:55:16 /build/assets/index-Bhz_ry2-.js .............. ~ 0.60ms
  2026-06-24 10:55:16 /build/assets/index-_tz1FyI2.js .............. ~ 0.08ms
  2026-06-24 10:55:16 /build/assets/index-DhOUqLs5.js .............. ~ 0.22ms
  2026-06-24 10:55:16 /build/assets/index-Dd4jnFyq.js .............. ~ 0.40ms
  2026-06-24 10:55:16 /build/assets/index-DIS7WWPq.js .............. ~ 0.55ms
  2026-06-24 10:55:16 /build/assets/check-CD9PUByM.js .............. ~ 0.68ms
  2026-06-24 10:55:16 /build/assets/createLucideIcon-C-jyAfPC.js ... ~ 0.81ms
  2026-06-24 10:55:16 /_debugbar/assets ............................ ~ 0.04ms
  2026-06-24 10:55:16 /build/assets/index-BOE09UYn.js .............. ~ 0.28ms
  2026-06-24 10:55:16 /build/assets/loader-circle-bDlQ2Afq.js ...... ~ 0.42ms
  2026-06-24 10:55:16 /build/assets/app-logo-icon-Co08Z3aV.js ...... ~ 0.56ms
  2026-06-24 10:55:16 /build/assets/index-Dby2qiUZ.js .............. ~ 0.73ms
  2026-06-24 10:55:16 /build/assets/app-CbWkHNh_.css ............... ~ 0.03ms
  2026-06-24 10:55:17 /logo.png .................................... ~ 0.12ms
  2026-06-24 10:55:17 /login ..................................... ~ 500.47ms
  2026-06-24 10:55:18 /dashboard ................................... ~ 0.03ms
  2026-06-24 10:55:18 /_debugbar/open .............................. ~ 0.03ms
  2026-06-24 10:55:18 /_debugbar/open .............................. ~ 0.09ms
  2026-06-24 10:55:18 /build/assets/app-layout-DZ8XfOjz.js ......... ~ 0.17ms
  2026-06-24 10:55:18 /build/assets/dashboard-4Zjna9Xa.js .......... ~ 0.57ms
  2026-06-24 10:55:18 /build/assets/ErrorMessage-rfYRMas8.js ....... ~ 0.40ms
  2026-06-24 10:55:18 /build/assets/index-BNZ9Sn9j.js .............. ~ 0.41ms
  2026-06-24 10:55:18 /build/assets/Combination-BLMZmBBi.js ........ ~ 2.03ms
  2026-06-24 10:55:18 /build/assets/x-D8-K-wIk.js .................. ~ 0.07ms
  2026-06-24 10:55:18 /build/assets/textarea-WNL7jeYd.js ........... ~ 0.47ms
  2026-06-24 10:55:18 /build/assets/GenericCombobox-C7gsqXyQ.js .... ~ 0.62ms
  2026-06-24 10:55:18 /build/assets/select-BrkPklZq.js ............. ~ 0.71ms
  2026-06-24 10:55:18 /build/assets/index-CyL8o_FW.js .............. ~ 0.85ms
  2026-06-24 10:55:18 /build/assets/CRMAssignmentSection-CGJmerUy.js  ~ 0.44ms
  2026-06-24 10:55:18 /build/assets/dropdown-menu-DOT7iNiI.js ...... ~ 0.43ms
  2026-06-24 10:55:18 /build/assets/building-2-Cq4oqecc.js ......... ~ 0.17ms
  2026-06-24 10:55:18 /build/assets/settings-D9gq9JFj.js ........... ~ 0.36ms
  2026-06-24 10:55:18 /build/assets/badge-B9_uY1HL.js .............. ~ 0.48ms
  2026-06-24 10:55:18 /build/assets/circle-alert-BLUwtcNo.js ....... ~ 0.74ms
  2026-06-24 10:55:18 /build/assets/file-text-Bqqr7zy0.js .......... ~ 0.83ms
  2026-06-24 10:55:18 /build/assets/calendar-Az3_zS15.js ........... ~ 0.83ms
  2026-06-24 10:55:18 /build/assets/clock-Dc1GOt6L.js .............. ~ 0.06ms
  2026-06-24 10:55:18 /build/assets/map-pin-CnjA-7Y_.js ............ ~ 0.21ms
  2026-06-24 10:55:18 /build/assets/card-pcWgINJM.js ............... ~ 0.39ms
  2026-06-24 10:55:18 /build/assets/video-BezLiSHC.js .............. ~ 0.54ms
  2026-06-24 10:55:18 /admin/settings .............................. ~ 0.10ms
  2026-06-24 10:56:08 /login ....................................... ~ 0.20ms
  2026-06-24 10:56:08 /build/assets/app-CbWkHNh_.css ............... ~ 2.29ms
  2026-06-24 10:56:08 /build/assets/login-CpAt4lyA.js .............. ~ 0.09ms
  2026-06-24 10:56:08 /build/assets/input-error-c9HKPrsi.js ........ ~ 0.23ms
  2026-06-24 10:56:08 /build/assets/text-link-B2DKKOP8.js .......... ~ 0.34ms
  2026-06-24 10:56:08 /build/assets/button-yyHK97aV.js ............. ~ 0.44ms
  2026-06-24 10:56:08 /build/assets/app-NBQrnAqq.js ................ ~ 0.67ms
