
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-06-06 11:23:09 /login ..................................... ~ 500.62ms
  2026-06-06 11:23:10 /_debugbar/assets ............................ ~ 0.04ms
  2026-06-06 11:23:10 /_debugbar/assets ............................ ~ 0.26ms
  2026-06-06 11:23:12 /logo.png .................................... ~ 0.15ms
  2026-06-06 11:23:12 /login ........................................... ~ 1s
  2026-06-06 11:23:13 /dashboard ................................... ~ 0.05ms
  2026-06-06 11:23:13 /_debugbar/open .............................. ~ 0.04ms
  2026-06-06 11:23:13 /_debugbar/open .............................. ~ 0.27ms
  2026-06-06 11:23:17 /requirements/create ....................... ~ 500.45ms
  2026-06-06 11:23:19 /logo.png .................................... ~ 0.15ms
  2026-06-06 11:30:15 /login ....................................... ~ 4.22ms
  2026-06-06 11:30:16 /_debugbar/assets ............................ ~ 0.10ms
  2026-06-06 11:30:16 /_debugbar/assets ............................ ~ 0.40ms
  2026-06-06 11:30:16 /logo.png .................................... ~ 0.14ms
  2026-06-06 11:30:17 /login ..................................... ~ 500.51ms
  2026-06-06 11:30:17 /dashboard ................................. ~ 500.44ms
  2026-06-06 11:30:17 /_debugbar/open .............................. ~ 0.05ms
  2026-06-06 11:30:17 /_debugbar/open .............................. ~ 0.28ms
  2026-06-06 11:30:18 /requirements/create ......................... ~ 0.16ms
  2026-06-06 11:30:19 /logo.png .................................... ~ 0.14ms
  2026-06-06 11:31:51 /login ....................................... ~ 0.12ms
  2026-06-06 11:31:51 /_debugbar/assets ............................ ~ 0.05ms
  2026-06-06 11:31:51 /_debugbar/assets ............................ ~ 0.28ms
  2026-06-06 11:31:52 /logo.png .................................... ~ 0.22ms
  2026-06-06 11:31:52 /login ..................................... ~ 500.40ms
  2026-06-06 11:31:53 /dashboard ................................. ~ 500.50ms
  2026-06-06 11:31:53 /_debugbar/open .............................. ~ 0.13ms
  2026-06-06 11:31:53 /_debugbar/open .............................. ~ 0.42ms
  2026-06-06 11:31:54 /requirements/create ....................... ~ 500.41ms
  2026-06-06 11:31:54 /logo.png .................................... ~ 0.16ms
