
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-05-09 12:06:58 /login ..................................... ~ 500.53ms
  2026-05-09 12:06:59 /build/assets/app-BaH780_N.css ............... ~ 0.04ms
  2026-05-09 12:06:59 /build/assets/login-CjKnvGER.js .............. ~ 0.07ms
  2026-05-09 12:06:59 /build/assets/input-error-C1F3NBUD.js ........ ~ 0.21ms
  2026-05-09 12:06:59 /build/assets/text-link-BsWoao-O.js .......... ~ 0.30ms
  2026-05-09 12:06:59 /build/assets/button-BKz7cK7D.js ............. ~ 0.40ms
  2026-05-09 12:06:59 /build/assets/app-gnqupJfv.js ................ ~ 0.57ms
  2026-05-09 12:06:59 /build/assets/checkbox-BIs78qXD.js ........... ~ 0.73ms
  2026-05-09 12:06:59 /_debugbar/assets ............................ ~ 0.05ms
  2026-05-09 12:06:59 /build/assets/input-VF-QJ_8E.js .............. ~ 0.31ms
  2026-05-09 12:06:59 /build/assets/label-BB22tlE5.js .............. ~ 0.43ms
  2026-05-09 12:06:59 /build/assets/spinner-C-TTjEfs.js ............ ~ 0.56ms
  2026-05-09 12:06:59 /build/assets/auth-layout-CH3wTlDn.js ........ ~ 0.46ms
  2026-05-09 12:06:59 /build/assets/index-DSmE5RgD.js .............. ~ 0.59ms
  2026-05-09 12:06:59 /build/assets/utils-CY_1PSmf.js .............. ~ 0.07ms
  2026-05-09 12:06:59 /build/assets/index-D5fDGFgk.js .............. ~ 0.20ms
  2026-05-09 12:06:59 /build/assets/index-CK5W6wdW.js .............. ~ 0.33ms
  2026-05-09 12:06:59 /build/assets/index-DRneG20b.js .............. ~ 0.45ms
  2026-05-09 12:06:59 /build/assets/check-BuiB3Ac6.js .............. ~ 0.58ms
  2026-05-09 12:06:59 /build/assets/index-Bzi9sE1E.js .............. ~ 1.59ms
  2026-05-09 12:06:59 /build/assets/createLucideIcon-knGogfeY.js ... ~ 0.08ms
  2026-05-09 12:06:59 /build/assets/index-Cld8We02.js .............. ~ 0.14ms
  2026-05-09 12:06:59 /build/assets/loader-circle-DCe0y_72.js ...... ~ 0.26ms
  2026-05-09 12:06:59 /build/assets/app-logo-icon-DnbmGu7i.js ...... ~ 0.34ms
  2026-05-09 12:06:59 /build/assets/index-CHtEOHk9.js .............. ~ 0.42ms
  2026-05-09 12:06:59 /_debugbar/assets ............................ ~ 0.54ms
  2026-05-09 12:06:59 /build/assets/app-BaH780_N.css ............... ~ 0.11ms
  2026-05-09 12:06:59 /logo.png .................................... ~ 0.03ms
  2026-05-09 12:07:00 /login ........................................... ~ 1s
  2026-05-09 12:07:01 /dashboard ................................... ~ 0.04ms
  2026-05-09 12:07:01 /_debugbar/open .............................. ~ 0.02ms
  2026-05-09 12:07:01 /_debugbar/open .............................. ~ 0.04ms
  2026-05-09 12:07:01 /build/assets/app-layout-C8umqmKV.js ......... ~ 0.06ms
  2026-05-09 12:07:01 /build/assets/dashboard-svVUqrAZ.js .......... ~ 0.45ms
  2026-05-09 12:07:01 /build/assets/index-sTO93vMD.js .............. ~ 0.30ms
  2026-05-09 12:07:01 /build/assets/index-BFYvTa4Z.js .............. ~ 0.42ms
  2026-05-09 12:07:01 /build/assets/x-DFRZDpfh.js .................. ~ 0.54ms
  2026-05-09 12:07:01 /build/assets/index-rQToH4qm.js .............. ~ 0.53ms
  2026-05-09 12:07:01 /build/assets/dropdown-menu-BSS3nNSo.js ...... ~ 0.69ms
  2026-05-09 12:07:01 /build/assets/index-CveNOnJE.js .............. ~ 0.85ms
  2026-05-09 12:07:01 /build/assets/settings-qiwqy_gF.js ........... ~ 0.99ms
  2026-05-09 12:07:01 /build/assets/chevrons-up-down-CVtuT8J5.js ... ~ 1.11ms
  2026-05-09 12:07:01 /build/assets/building-2-DIjsXO2B.js ......... ~ 0.56ms
  2026-05-09 12:07:01 /build/assets/circle-alert-0xH9wvuO.js ....... ~ 0.32ms
  2026-05-09 12:07:01 /build/assets/calendar-DJev92WA.js ........... ~ 0.41ms
  2026-05-09 12:07:01 /build/assets/clock-B8KHQH_u.js .............. ~ 0.57ms
  2026-05-09 12:07:01 /build/assets/badge-CinBWc5P.js .............. ~ 0.71ms
  2026-05-09 12:07:01 /build/assets/map-pin-CAf7JCAq.js ............ ~ 0.73ms
  2026-05-09 12:07:01 /users ....................................... ~ 0.02ms
  2026-05-09 12:07:01 /build/assets/app-BaH780_N.css ............... ~ 0.11ms
  2026-05-09 12:07:01 /build/assets/Index-C7H7r1MS.js .............. ~ 0.09ms
  2026-05-09 12:07:01 /build/assets/CommonTable-CmgWtGCl.js ........ ~ 0.30ms
  2026-05-09 12:07:01 /build/assets/heading-DIfAgVk6.js ............ ~ 0.42ms
  2026-05-09 12:07:01 /build/assets/columns-DjjUwIa3.js ............ ~ 0.54ms
  2026-05-09 12:07:01 /build/assets/app-gnqupJfv.js ................ ~ 0.67ms
  2026-05-09 12:07:01 /build/assets/app-layout-C8umqmKV.js ......... ~ 0.89ms
  2026-05-09 12:07:01 /build/assets/select-BwE6lAX5.js ............. ~ 0.17ms
