
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-06-11 05:32:39 /login ........................................... ~ 1s
  2026-06-11 05:32:40 /build/assets/app-CTtEV4y4.css ............... ~ 0.05ms
  2026-06-11 05:32:40 /build/assets/app-C8Ggl87-.js ................ ~ 0.03ms
  2026-06-11 05:32:40 /build/assets/login-Dzh-h17g.js .............. ~ 0.09ms
  2026-06-11 05:32:40 /build/assets/input-error-BTLFUYy8.js ........ ~ 0.23ms
  2026-06-11 05:32:40 /build/assets/text-link-CSoec2uC.js .......... ~ 0.33ms
  2026-06-11 05:32:40 /build/assets/button-5T1vwz7h.js ............. ~ 0.44ms
  2026-06-11 05:32:40 /build/assets/checkbox-DCAIBSVl.js ........... ~ 0.56ms
  2026-06-11 05:32:40 /build/assets/input-Chfec9Ut.js .............. ~ 0.67ms
  2026-06-11 05:32:40 /build/assets/label-BOLrVtPs.js .............. ~ 0.13ms
  2026-06-11 05:32:40 /build/assets/spinner-WQlC3Liu.js ............ ~ 0.36ms
  2026-06-11 05:32:40 /build/assets/auth-layout-BL-PewUP.js ........ ~ 0.48ms
  2026-06-11 05:32:40 /build/assets/index-Bhz_ry2-.js .............. ~ 0.57ms
  2026-06-11 05:32:40 /build/assets/index-_tz1FyI2.js .............. ~ 0.81ms
  2026-06-11 05:32:40 /build/assets/index-Cmvk7tHf.js .............. ~ 1.02ms
  2026-06-11 05:32:40 /_debugbar/assets ............................ ~ 0.43ms
  2026-06-11 05:32:40 /build/assets/index-DfnlAyco.js .............. ~ 0.80ms
  2026-06-11 05:32:40 /build/assets/index-CWQgIVzv.js .............. ~ 0.83ms
  2026-06-11 05:32:40 /build/assets/check-CMDVCFnE.js .............. ~ 0.56ms
  2026-06-11 05:32:40 /build/assets/createLucideIcon-DqZP-Ku8.js ... ~ 0.68ms
  2026-06-11 05:32:40 /build/assets/index-Bq72hOse.js .............. ~ 0.51ms
  2026-06-11 05:32:40 /_debugbar/assets ............................ ~ 0.03ms
  2026-06-11 05:32:40 /build/assets/loader-circle-DOjfw63j.js ...... ~ 0.27ms
  2026-06-11 05:32:40 /build/assets/app-logo-icon-DDrT6k0I.js ...... ~ 0.36ms
  2026-06-11 05:32:40 /build/assets/index-Dby2qiUZ.js .............. ~ 0.44ms
  2026-06-11 05:32:40 /build/assets/app-CTtEV4y4.css ............... ~ 0.12ms
  2026-06-11 05:32:41 /logo.png .................................... ~ 0.17ms
  2026-06-11 05:32:42 /login ....................................... ~ 0.11ms
  2026-06-11 05:32:42 /login ....................................... ~ 0.03ms
  2026-06-11 05:32:42 /_debugbar/open .............................. ~ 0.04ms
  2026-06-11 05:32:42 /_debugbar/open .............................. ~ 0.26ms
  2026-06-11 05:33:54 /login ....................................... ~ 0.11ms
  2026-06-11 05:33:54 /build/assets/app-CTtEV4y4.css ............... ~ 0.04ms
  2026-06-11 05:33:54 /build/assets/login-Dzh-h17g.js .............. ~ 0.07ms
  2026-06-11 05:33:54 /build/assets/input-error-BTLFUYy8.js ........ ~ 0.20ms
  2026-06-11 05:33:54 /build/assets/text-link-CSoec2uC.js .......... ~ 0.32ms
  2026-06-11 05:33:54 /build/assets/app-C8Ggl87-.js ................ ~ 1.42ms
  2026-06-11 05:33:54 /build/assets/button-5T1vwz7h.js ............. ~ 1.58ms
  2026-06-11 05:33:54 /build/assets/checkbox-DCAIBSVl.js ........... ~ 1.77ms
  2026-06-11 05:33:54 /_debugbar/assets .......................... ~ 500.54ms
  2026-06-11 05:33:54 /build/assets/input-Chfec9Ut.js ............ ~ 500.97ms
  2026-06-11 05:33:54 /build/assets/label-BOLrVtPs.js ............ ~ 501.13ms
  2026-06-11 05:33:55 /build/assets/spinner-WQlC3Liu.js ............ ~ 0.38ms
  2026-06-11 05:33:55 /build/assets/auth-layout-BL-PewUP.js ........ ~ 0.50ms
  2026-06-11 05:33:55 /build/assets/index-Bhz_ry2-.js .............. ~ 0.61ms
  2026-06-11 05:33:55 /build/assets/index-_tz1FyI2.js .............. ~ 0.10ms
  2026-06-11 05:33:55 /build/assets/index-Cmvk7tHf.js .............. ~ 0.26ms
  2026-06-11 05:33:55 /build/assets/index-DfnlAyco.js .............. ~ 0.39ms
  2026-06-11 05:33:55 /build/assets/index-CWQgIVzv.js .............. ~ 0.52ms
  2026-06-11 05:33:55 /build/assets/check-CMDVCFnE.js .............. ~ 0.65ms
  2026-06-11 05:33:55 /build/assets/createLucideIcon-DqZP-Ku8.js ... ~ 0.80ms
  2026-06-11 05:33:55 /build/assets/index-Bq72hOse.js .............. ~ 0.12ms
  2026-06-11 05:33:55 /build/assets/loader-circle-DOjfw63j.js ...... ~ 0.24ms
  2026-06-11 05:33:55 /build/assets/app-logo-icon-DDrT6k0I.js ...... ~ 0.32ms
  2026-06-11 05:33:55 /build/assets/index-Dby2qiUZ.js .............. ~ 0.45ms
  2026-06-11 05:33:55 /_debugbar/assets ............................ ~ 0.58ms
  2026-06-11 05:33:55 /build/assets/app-CTtEV4y4.css ............... ~ 0.07ms
  2026-06-11 05:33:55 /logo.png .................................... ~ 0.03ms
  2026-06-11 05:33:55 /login ....................................... ~ 0.16ms
  2026-06-11 05:33:55 /login ....................................... ~ 0.03ms
  2026-06-11 05:33:55 /_debugbar/open .............................. ~ 0.03ms
  2026-06-11 05:33:55 /_debugbar/open .............................. ~ 0.30ms
  2026-06-11 05:34:00 /meetings/create ............................. ~ 0.10ms
  2026-06-11 05:34:00 /login ....................................... ~ 0.03ms
  2026-06-11 05:34:00 /build/assets/app-CTtEV4y4.css ............... ~ 0.12ms
  2026-06-11 05:34:00 /build/assets/login-Dzh-h17g.js .............. ~ 0.07ms
  2026-06-11 05:34:00 /build/assets/input-error-BTLFUYy8.js ........ ~ 0.20ms
  2026-06-11 05:34:00 /build/assets/text-link-CSoec2uC.js .......... ~ 0.30ms
  2026-06-11 05:34:00 /build/assets/app-C8Ggl87-.js ................ ~ 0.45ms
  2026-06-11 05:34:00 /build/assets/button-5T1vwz7h.js ............. ~ 0.59ms
  2026-06-11 05:34:00 /build/assets/checkbox-DCAIBSVl.js ........... ~ 0.77ms
  2026-06-11 05:34:00 /build/assets/input-Chfec9Ut.js .............. ~ 0.38ms
  2026-06-11 05:34:00 /build/assets/label-BOLrVtPs.js .............. ~ 0.19ms
  2026-06-11 05:34:00 /build/assets/spinner-WQlC3Liu.js ............ ~ 0.32ms
  2026-06-11 05:34:00 /build/assets/auth-layout-BL-PewUP.js ........ ~ 0.43ms
  2026-06-11 05:34:00 /build/assets/index-Bhz_ry2-.js .............. ~ 0.52ms
  2026-06-11 05:34:00 /build/assets/index-_tz1FyI2.js .............. ~ 0.07ms
  2026-06-11 05:34:00 /build/assets/index-Cmvk7tHf.js .............. ~ 0.31ms
  2026-06-11 05:34:00 /build/assets/index-DfnlAyco.js .............. ~ 0.45ms
  2026-06-11 05:34:00 /build/assets/index-CWQgIVzv.js .............. ~ 0.59ms
  2026-06-11 05:34:00 /build/assets/check-CMDVCFnE.js .............. ~ 0.71ms
  2026-06-11 05:34:00 /build/assets/createLucideIcon-DqZP-Ku8.js ... ~ 0.84ms
  2026-06-11 05:34:00 /build/assets/index-Bq72hOse.js .............. ~ 0.06ms
  2026-06-11 05:34:00 /build/assets/loader-circle-DOjfw63j.js ...... ~ 0.23ms
  2026-06-11 05:34:00 /build/assets/app-logo-icon-DDrT6k0I.js ...... ~ 0.32ms
  2026-06-11 05:34:00 /build/assets/index-Dby2qiUZ.js .............. ~ 0.40ms
  2026-06-11 05:34:00 /build/assets/app-CTtEV4y4.css ............... ~ 0.03ms
  2026-06-11 05:34:01 /logo.png .................................... ~ 0.12ms
  2026-06-11 05:34:55 /login ....................................... ~ 0.11ms
  2026-06-11 05:34:55 /build/assets/app-CTtEV4y4.css ............... ~ 0.04ms
  2026-06-11 05:34:55 /build/assets/login-Dzh-h17g.js .............. ~ 0.07ms
  2026-06-11 05:34:55 /build/assets/input-error-BTLFUYy8.js ........ ~ 0.19ms
  2026-06-11 05:34:55 /build/assets/text-link-CSoec2uC.js .......... ~ 0.30ms
  2026-06-11 05:34:55 /build/assets/button-5T1vwz7h.js ............. ~ 0.40ms
  2026-06-11 05:34:55 /build/assets/app-C8Ggl87-.js ................ ~ 0.62ms
  2026-06-11 05:34:55 /build/assets/checkbox-DCAIBSVl.js ........... ~ 0.75ms
  2026-06-11 05:34:55 /_debugbar/assets ............................ ~ 0.05ms
  2026-06-11 05:34:55 /build/assets/input-Chfec9Ut.js .............. ~ 0.52ms
  2026-06-11 05:34:55 /build/assets/label-BOLrVtPs.js .............. ~ 0.72ms
  2026-06-11 05:34:55 /build/assets/spinner-WQlC3Liu.js ............ ~ 0.44ms
  2026-06-11 05:34:55 /build/assets/auth-layout-BL-PewUP.js ........ ~ 0.55ms
  2026-06-11 05:34:55 /build/assets/index-Bhz_ry2-.js .............. ~ 0.64ms
  2026-06-11 05:34:55 /build/assets/index-_tz1FyI2.js .............. ~ 0.06ms
  2026-06-11 05:34:55 /build/assets/index-Cmvk7tHf.js .............. ~ 0.22ms
  2026-06-11 05:34:55 /build/assets/index-DfnlAyco.js .............. ~ 0.37ms
  2026-06-11 05:34:55 /build/assets/index-CWQgIVzv.js .............. ~ 0.56ms
  2026-06-11 05:34:55 /build/assets/check-CMDVCFnE.js .............. ~ 0.71ms
  2026-06-11 05:34:55 /build/assets/createLucideIcon-DqZP-Ku8.js ... ~ 0.83ms
  2026-06-11 05:34:55 /build/assets/index-Bq72hOse.js .............. ~ 0.27ms
  2026-06-11 05:34:55 /build/assets/loader-circle-DOjfw63j.js ...... ~ 0.19ms
  2026-06-11 05:34:55 /build/assets/app-logo-icon-DDrT6k0I.js ...... ~ 0.27ms
  2026-06-11 05:34:55 /build/assets/index-Dby2qiUZ.js .............. ~ 0.35ms
  2026-06-11 05:34:55 /_debugbar/assets ............................ ~ 0.52ms
  2026-06-11 05:34:56 /build/assets/app-CTtEV4y4.css ............... ~ 0.10ms
  2026-06-11 05:34:56 /logo.png .................................... ~ 0.04ms
  2026-06-11 05:34:56 /login ....................................... ~ 0.16ms
  2026-06-11 05:34:56 /login ....................................... ~ 0.03ms
  2026-06-11 05:34:56 /_debugbar/open .............................. ~ 0.04ms
  2026-06-11 05:34:56 /_debugbar/open .............................. ~ 0.36ms
  2026-06-11 05:34:58 /meetings/create ............................. ~ 0.17ms
  2026-06-11 05:34:58 /login ....................................... ~ 0.15ms
